,forest,geoProv,geoDesc,order_r,soil_name,muSymb_x,Area,C_sum,N_sum,C_Mg
88,CHL,blue ridge,drainageways,inceptisols,cullasaja,Cu,361.37,232.39,18.84,83980.05
18,BCEF,blue ridge,drainageways,ultisols,dillard,DrB,2.03,0,0,0
82,CEF,coastal plain,drainageways,ultisols,catula,Cd,7.84,0,0,0
83,CEF,coastal plain,drainageways,ultisols,catula,Cd,131.34,0,0,0
218,OEF,piedmont,flatwoods,spodosols,boulogne,11,42.42,516.89,0,21926.5
124,ChEF,coastal plain,flatwoods,spodosols,hurricane,35,75.3,397.42,34.31,29925.65
234,PEF,coastal plain,flatwoods,alfisols,caddo,Ca,2.15,96.29,7.39,207.01
235,PEF,coastal plain,flatwoods,alfisols,caddo,Ca,206.36,96.29,7.39,19869.55
107,ChEF,coastal plain,flatwoods,histosols,dorovan,20,1.88,8251.54,0,15512.9
108,ChEF,coastal plain,flatwoods,histosols,dorovan,20,3.34,4125.77,0,13780.08
221,OEF,piedmont,flatwoods,spodosols,kingsferry,26,41.92,667.51,0,27982.08
269,SEF,coastal plain,flatwoods,spodosols,leon,Lo,0.68,147.94,9.86,100.6
223,OEF,piedmont,flatwoods,spodosols,leon,23,134.85,2663,177.53,359106.11
224,OEF,piedmont,flatwoods,spodosols,leon,24,29.37,2663,177.53,78212.43
265,SEF,coastal plain,flatwoods,spodosols,leon,Lo,0.68,147.94,9.86,100.6
214,OEF,piedmont,flatwoods,spodosols,leon,23,134.85,2663,177.53,359106.11
215,OEF,piedmont,flatwoods,spodosols,leon,24,29.37,2663,177.53,78212.43
264,SEF,coastal plain,flatwoods,spodosols,leon,Lo,0.68,147.94,9.86,100.6
212,OEF,piedmont,flatwoods,spodosols,leon,23,134.85,2663,177.53,359106.11
213,OEF,piedmont,flatwoods,spodosols,leon,24,29.37,2663,177.53,78212.43
228,OEF,piedmont,flatwoods,ultisols,olustee,33,32.23,542.35,0,17479.94
253,SEF,coastal plain,flatwoods,ultisols,pantego,Pe,4.04,1875.27,0,7576.1
211,OEF,piedmont,flatwoods,ultisols,pantego,36,273.17,7501.09,0,2049072.53
268,SEF,coastal plain,flatwoods,ultisols,pantego,Pe,4.04,1875.27,0,7576.1
217,OEF,piedmont,flatwoods,ultisols,pantego,36,273.17,7501.09,0,2049072.53
111,ChEF,coastal plain,flatwoods,ulstisols,plummer,51,6.17,245.87,0,1517.01
112,ChEF,coastal plain,flatwoods,ultisols,plummer,51,6.17,245.87,0,1517.01
137,EEF,coastal plain,flatwoods,ultisols,plummer,Pl,6.05,81.96,0,495.84
113,ChEF,coastal plain,flatwoods,ulstisols,plummer,51,6.17,245.87,0,1517.01
114,ChEF,coastal plain,flatwoods,ultisols,plummer,51,6.17,245.87,0,1517.01
140,EEF,coastal plain,flatwoods,ultisols,plummer,Pl,6.05,81.96,0,495.84
116,ChEF,coastal plain,flatwoods,spodosols,pottsburg,55,79.05,498.42,0,39400.14
220,OEF,piedmont,flatwoods,spodosols,pottsburg,42,26.89,199.37,0,5361.01
222,OEF,piedmont,flood plains,spodosols,mascotte,29,277.41,1958.77,0,543383.05
131,DEF,coastal plain,flood plains,entisols,dowling,Da,208.9,0,0,0
278,SFAEF,coastal plain,flood plains,entisols,angelina,5,64.16,0,68.82,0
319,TEF,coastal plain,flood plains,entisols,arkabutla,18,234.71,0,0,0
321,TEF,coastal plain,flood plains,entisols,arkabutla,18,234.71,0,0,0
294,SSEF,piedmont,flood plains,inceptisols,ashlar,AP,33.46,198.38,11.23,6637.76
138,EEF,coastal plain,flood plains,entisols,bibb,3,1.43,0,90.79,0
139,EEF,coastal plain,flood plains,entisols,bibb,Bh,167.36,0,90.79,0
135,EEF,coastal plain,flood plains,entisols,bibb,3,1.43,0,90.79,0
136,EEF,coastal plain,flood plains,entisols,bibb,Bh,167.36,0,90.79,0
81,CEF,coastal plain,flood plains,entisols,buncombe,Bu,11.2,0,0,0
184,HEF,piedmont,flood plains,entisols,buncombe,Bfs,1.55,0,0,0
233,PEF,coastal plain,flood plains,ultisols,cahaba,ChB,0.75,30.92,14.75,23.19
56,CEF,coastal plain,flood plains,entisols,cartecay,Ca,158.19,0,0,0
287,SSEF,piedmont,flood plains,entisols,cartecay,Ca,89.25,0,0,0
55,CEF,coastal plain,flood plains,entisols,cartecay,Ca,158.19,0,0,0
286,SSEF,piedmont,flood plains,entisols,cartecay,Ca,89.25,0,0,0
317,TEF,coastal plain,flood plains,inceptisols,chenneby,10,1.25,0,0,0
171,HEF,piedmont,flood plains,inceptisols,chewacla,Cst,10.15,0,34.9,0
291,SSEF,piedmont,flood plains,entisols,chewacla,COA,150.49,0,523.54,0
292,SSEF,piedmont,flood plains,inceptisols,chewacla,Ch,44.99,0,523.54,0
185,HEF,piedmont,flood plains,inceptisols,chewacla,Cst,10.15,0,34.9,0
312,SSEF,piedmont,flood plains,entisols,chewacla,COA,150.49,0,523.54,0
313,SSEF,piedmont,flood plains,inceptisols,chewacla,Ch,44.99,0,523.54,0
170,HEF,piedmont,flood plains,inceptisols,chewacla,Cst,10.15,0,34.9,0
289,SSEF,piedmont,flood plains,entisols,chewacla,COA,150.49,0,523.54,0
290,SSEF,piedmont,flood plains,inceptisols,chewacla,Ch,44.99,0,523.54,0
169,HEF,piedmont,flood plains,entisols,congaree,Cot,132,318.11,0,41990.02
236,PEF,coastal plain,flood plains,inceptisols,guyton,Gy,6.26,264.84,44.21,1657.89
237,PEF,coastal plain,flood plains,inceptisols,guyton,Gy,31.92,264.84,44.21,8453.64
9,BCEF,blue ridge,flood plains,inceptisols,iotla,IoA,17.49,0,0,0
277,SFAEF,coastal plain,flood plains,inceptisols,iulus,27,59.62,0,0,0
279,SFAEF,coastal plain,flood plains,inceptisols,mantachie,37,524.91,608.78,92.99,319556.39
260,SEF,coastal plain,flood plains,alfisols,meggett,Mg,949.66,6421.96,1077.63,6098674.72
7,BCEF,blue ridge,flood plains,inceptisols,nikwasi,NkA,2.24,849.12,36.23,1902.04
320,TEF,coastal plain,flood plains,entisols,ochlockonee,40,3.4,0,0,0
117,ChEF,coastal plain,flood plains,entisols,pamlico,64,5.36,9277.54,1077.34,49727.62
118,ChEF,coastal plain,flood plains,entisols,pamlico,64,41.43,9277.54,1077.34,384368.5
225,OEF,piedmont,flood plains,histols,pamlico,40,2.22,2650.73,307.81,5884.61
109,ChEF,coastal plain,flood plains,entisols,pamlico,64,5.36,9277.54,1077.34,49727.62
110,ChEF,coastal plain,flood plains,entisols,pamlico,64,41.43,9277.54,1077.34,384368.5
216,OEF,piedmont,flood plains,histols,pamlico,40,2.22,2650.73,307.81,5884.61
13,BCEF,blue ridge,flood plains,inceptisols,reddies,RdA,25.32,769.4,34.52,19481.31
38,BVEF,blue ridge,flood plains,inceptisols,reddies,ReA,6.31,1025.87,46.02,6473.25
85,CHL,blue ridge,flood plains,inceptisols,reddies,ReA,8.92,769.4,34.52,6863.08
8,BCEF,blue ridge,flood plains,inceptisols,reddies,RdA,25.32,769.4,34.52,19481.31
37,BVEF,blue ridge,flood plains,inceptisols,reddies,ReA,6.31,1025.87,46.02,6473.25
84,CHL,blue ridge,flood plains,inceptisols,reddies,ReA,8.92,769.4,34.52,6863.08
238,PEF,coastal plain,flood plains,alfisols,rexor,Re,29.02,300.82,0,8729.67
35,BCEF,blue ridge,flood plains,inceptisols,rosman,RsA,1.12,280.68,28.19,314.37
