,forest,geoProv,geoDesc,order_r,soil_name,muSymb_x,Area,C_sum,N_sum,C_Mg
32,BCEF,blue ridge,"slopes, ridges",inceptisols,ashe,793,0.74,225.32,0,166.74
33,BCEF,blue ridge,"slopes, ridges",inceptisols,ashe,Ac,213.25,225.32,0,48050.42
239,PEF,coastal plain,"slopes, ridges",ultisols,beauregard,BeB,1149.59,0,0,0
98,CHL,blue ridge,"slopes, ridges",inceptisols,burton,Bu,8.51,274.92,19.81,2339.55
2,ACEF,coastal plain,"slopes, ridges",ultisols,carnasaw,12,1492.03,487.58,0,727487.22
3,ACEF,coastal plain,"slopes, ridges",ultisols,carnasaw,21,34.16,487.58,0,16655.81
46,BVEF,blue ridge,"slopes, ridges",inceptisols,cashiers,CaE,47.11,465.02,28.51,21907.19
99,CHL,blue ridge,"slopes, ridges",inceptisols,cashiers,CaF,29.66,465.02,28.51,13792.56
47,BVEF,blue ridge,"slopes, ridges",inceptisols,chandler,Cd,97.7,462.28,26.67,45164.29
100,CHL,blue ridge,"slopes, ridges",inceptisols,chandler,Cd,197.58,231.14,13.34,45668.17
25,BCEF,blue ridge,"slopes, ridges",inceptisols,cleveland,RkF,2.11,0,0,0
102,CHL,blue ridge,"slopes, ridges",inceptisols,cleveland,Cp,41.48,0,0,0
103,CHL,blue ridge,"slopes, ridges",inceptisols,cleveland,RkF,193.44,0,0,0
27,BCEF,blue ridge,"slopes, ridges",inceptisols,edneyville,Ed,563.72,244.87,10.51,138037.61
50,BVEF,blue ridge,"slopes, ridges",inceptisols,edneyville,EPF,0.07,163.25,7.01,11.43
51,BVEF,blue ridge,"slopes, ridges",inceptisols,edneyville,EdE,0.12,163.25,7.01,19.59
104,CHL,blue ridge,"slopes, ridges",inceptisols,edneyville,Ed,218.1,244.87,10.51,53405.95
21,BCEF,blue ridge,"slopes, ridges",inceptisols,edneyville,Ed,563.72,244.87,10.51,138037.61
44,BVEF,blue ridge,"slopes, ridges",inceptisols,edneyville,EPF,0.07,163.25,7.01,11.43
45,BVEF,blue ridge,"slopes, ridges",inceptisols,edneyville,EdE,0.12,163.25,7.01,19.59
95,CHL,blue ridge,"slopes, ridges",inceptisols,edneyville,Ed,218.1,244.87,10.51,53405.95
29,BCEF,blue ridge,"slopes, ridges",ultisols,evard,Ev,808.67,430.16,39.45,347860.84
53,BVEF,blue ridge,"slopes, ridges",ultisols,evard,EVF,0.06,122.9,11.27,7.37
105,CHL,blue ridge,"slopes, ridges",ultisols,evard,Ev,557.25,122.9,11.27,68488.28
14,BCEF,blue ridge,"slopes, ridges",ultisols,evard,Ev,808.67,430.16,39.45,347860.84
39,BVEF,blue ridge,"slopes, ridges",ultisols,evard,EVF,0.06,122.9,11.27,7.37
86,CHL,blue ridge,"slopes, ridges",ultisols,evard,Ev,557.25,122.9,11.27,68488.28
15,BCEF,blue ridge,"slopes, ridges",ultisols,evard,Ev,808.67,430.16,39.45,347860.84
40,BVEF,blue ridge,"slopes, ridges",ultisols,evard,EVF,0.06,122.9,11.27,7.37
87,CHL,blue ridge,"slopes, ridges",ultisols,evard,Ev,557.25,122.9,11.27,68488.28
97,CHL,blue ridge,"slopes, ridges",inceptisols,plott,Pw,333.82,565.13,38.25,188651.08
26,BCEF,blue ridge,"slopes, ridges",inceptisols,porters,Pw,177.78,0,0,0
49,BVEF,blue ridge,"slopes, ridges",inceptisols,porters,PCG,0.03,0,0,0
20,BCEF,blue ridge,"slopes, ridges",inceptisols,unaka,UkF,59.8,186.32,0,11142.1
94,CHL,blue ridge,"slopes, ridges",inceptisols,wayah,We,1.85,0,0,0
