forest,muSymb,MUname,order,soil_name,Area,order_r,
ChEF,51,"Plummer sand, 0 to 5 percent slopes",Ultisols,plummer,6.17,ultisols,
ChEF,55,Pottsburg sand,Spodosols,pottsburg,79.05,spodosols,
ChEF,64,"Pamlico, Bibb, and Rutlege soils, frequently flooded",Entisols,pamlico,41.43,entisols,
ChEF,64,"Pamlico, Bibb, and Rutlege soils, frequently flooded",Entisols/Histosols/Inceptisols,pamlico,5.36,entisols,
ChEF,66,"Lakeland and Troup soils, 8 to 12 percent slopes",Ultisols/Entisols,lakeland,3.63,ultisols,
ChEF,7,"Blanton sand, 0 to 8 percent slopes",Ultisols,blanton,30.56,ultisols,
ChEF,70,"Alapaha loamy sand, 2 to 8 percent slopes",Ultisols,alapaha,12.06,ultisols,
CHL,Bu,"Burton-Craggey-Rock outcrop , windswept, stony",Inceptisols,burton,8.51,inceptisols,
CHL,CaF,Cashiers gravelly fine sandy loam,Inceptisols,cashiers,29.66,inceptisols,
CHL,Cd,Chandler gravelly fine sandy loam,Inceptisols,chandler,197.58,inceptisols,
CHL,Cp,"Cleveland-Chestnut-Rock outcrop , windswept",Inceptisols,cleveland,41.48,inceptisols,
CHL,Cu,"Cullasaja-Tuckasegee, stony",Inceptisols,cullasaja,361.37,inceptisols,
CHL,Ed,"Edneyville-Chestnut , high precipitation, stony",Inceptisols,edneyville,218.10,inceptisols,
CHL,Ev,Evard-Cowee,Ultisols,evard,557.25,ultisols,
CHL,Fa,Fannin fine sandy loam,Ultisols,fannin,132.92,ultisols,
CHL,Pw,"Plott fine sandy loam, high precipitation, stony",Inceptisols,plott,333.82,inceptisols,
CHL,ReA,"Reddies fine sandy loam,  frequently flooded",Inceptisols,reddies,8.92,inceptisols,
CHL,RkF,"Rock outcrop-Cleveland complex, 30 to 95 percent slopes",Inceptisols,cleveland,193.44,inceptisols,
CHL,Sb,"Saunook loam/gravelly loam, stony",Ultisols,saunook,53.67,ultisols,
CHL,Tr,"Trimont gravelly loam,  stony",Ultisols,trimont,47.78,ultisols,
CHL,TwC,Tuckasegee-Whiteside,Ultisols (Inceptisols),tuckasegee,9.11,ultisols,
CHL,We,"Wayah sandy loam, windswept, stony",Inceptisols,wayah,1.85,inceptisols,
DEF,Da,Dowling clay,entisols,dowling,208.90,entisols,
DEF,Fb,Forestdale silty clay,alfisols,forestdale,1.20,alfisols,
DEF,Sa,"Sharkey clay, rarely flooded",vertisols,sharkey,859.60,vertisols,
EEF,Be,"Benndale fine sandy loam, moderately steep",ultisols,benndale,88.38,ultisols,
EEF,Bg,"Benndale-Orangeburg complex,  moderately steep",ultisols,benndale,90.49,ultisols,
EEF,Bh,Bibb soils,entisols,bibb,167.36,entisols,
EEF,3,Bibb-Kinston association,entisols,bibb,1.43,entisols,
EEF,Dt,Dothan fine sandy loam,ultisols,dothan,43.52,ultisols,
EEF,Es,Escambia fine sandy loam,ultisols,escambia,5.76,ultisols,
EEF,Et,Esto loam/fine sandy loam,ultisols,esto,18.79,ultisols,
EEF,Ew,"Esto-Dothan-Wagram complex, sloping",ultisols,esto,60.20,ultisols,
EEF,Fl,Flomaton gravelly loamy sand,ultisols,flomaton,9.15,ultisols,
EEF,14,Fuquay loamy sand,ultisols,fuquay,0.74,ultisols,
